kamala, कमल
ajaya, अजय
kalā, कला
rāma, राम
ramā, रमा
tārā, तारा
latā, लता
rājā, राजा
umā, उमा
nārāyaṇa, नारायण
hari, हरि
śiva, शिव
ravi, रवि
anitā, अनिता
lalitā, ललिता
jānakī, जानकी
dīpā, दीपा
gītā, गीता
mīnā, मीना
āratī, आरती
tulasī, तुलसी
yamunā, यमुना
hanumān, हनुमान
pūjā, पूजा
anasūyā, अनसूया
ṛṣi, ऋषि
mṛdulā, मृदुला
pṛthivī, पृथिवी
hemā, हेमा
gaṇeśa, गणेश
vasudeva, वसुदेव
devakī, देवकी
vedā, वेदा
kailāśa, कैलाश
maithilī, मैथिली
bhairavī, भैरवी
kaikeyī, कैकेयी
gopāla, गोपाल
mohan, मोहन
kiśora, किशोर
aśoka, अशोक
gautama, गौतम
gaurī, गौरी
mukunda, मुकुन्द
